location,name,country,province,kg_n_per_year,capacity,country_code,name_en,kg_p_per_year
"45.319817, 8.421335",Stadio Silvio Piola,Italy,Piemonte,302.0,8000.0,IT,Stadio Silvio Piola,18.48
"42.758889, 11.1075",Stadio Olimpico Carlo Zecchini,Italy,Toscana,368.0,9747.0,IT,Stadio Olimpico Carlo Zecchini,22.5156
"39.079167, 17.116667",Stadio Ezio Scida,Italy,Calabria,609.0,16108.0,IT,Stadio Ezio Scida,47.132
"39.079167, 17.116667",Stadio Ezio Scida,Italy,Calabria,629.0,16640.0,IT,Stadio Ezio Scida,47.132
"45.642778, 11.781111",Stadio Pier Cesare Tombolato,Italy,Veneto,288.0,7623.0,IT,Stadio Pier Cesare Tombolato,17.6091
"45.432222, 11.858333",Stadio Euganeo,Italy,Veneto,1225.0,32420.0,IT,Stadio Euganeo,94.8609
"44.102222, 9.808611",Stadio Alberto Picco,Italy,Liguria,455.0,12037.0,IT,Stadio Alberto Picco,27.8055
"37.872294, -4.764642",Estadio Nuevo Arcángel,Spain,Andalucía,825.0,21822.0,ES,Estadio Nuevo Arcángel,63.8512
"37.356403, -5.981611",Estadio Benito Villamarín,Spain,Andalucía,2295.0,60721.0,ES,Estadio Benito Villamarín,233.776
"45.478055555, 9.123888888",Giuseppe Meazza Stadium,Italy,Lombardia,2866.0,75817.0,IT,Giuseppe Meazza Stadium,291.895
"45.478055555, 9.123888888",Giuseppe Meazza Stadium,Italy,Lombardia,2866.0,75817.0,IT,Giuseppe Meazza Stadium,291.895
"41.644444, -4.761111",Estadio Nuevo José Zorrilla,Spain,Castilla y León,1002.0,26512.0,ES,Estadio Nuevo José Zorrilla,77.5741
"48.792222, 9.231944",MHPArena,Germany,Stuttgart,2270.0,60058.0,DE,MHPArena,231.223
"49.434444, 7.775833",Fritz Walter Stadium,Germany,Rheinhessen-Pfalz,1882.0,49780.0,DE,Fritz Walter Stadium,191.653
"41.933888888, 12.454722222",Stadio Olimpico,,,2670.0,70634.0,,Stadio Olimpico,271.941
"41.933888888, 12.454722222",Stadio Olimpico,,,2670.0,70634.0,,Stadio Olimpico,271.941
"51.555, -0.108333333",obdachlosen lager,,,2281.0,60338.0,,obdachlosen lager,232.301
"40.45306, -3.68835",Bernabéu Stadium,Spain,Comunidad de Madrid,3144.0,83186.0,ES,Bernabéu Stadium,416.346
"51.481666666, -0.191111111",Stamford Bridge,,,1583.0,41875.0,,Stamford Bridge,161.219
"43.264205, -2.949369",San Mamés Stadium,Spain,País Vasco,2014.0,53289.0,ES,San Mamés Stadium,205.163
